id,session,title,authors,orgs,org_type,domain,method,solver,maturity,one_liner,tier2,ss2026
1-A-1,学生発表(1)／連続最適化(1),Fully Composite型の非凸最適化問題に対する降下法,*松田昂太朗;山下信雄,京都大学,大学,,MILP;局所探索,,理論,Fully Composite型非凸最適化に対し正則化2次項を一般化した降下法を提案し停留点への収束を示した,,
1-A-2,学生発表(1)／連続最適化(1),A Block-Coordinate ADMM for Large-Scale Quadratically Regularized Optimal Transport,*李凌叡;山下信雄,京都大学,大学,,Benders;分散最適化,,数値実験,大規模最適輸送に対しブロック座標ADMM(BCD-ADMM)を提案し全ADMMより約26〜33倍高速化した,,
1-A-3,学生発表(1)／連続最適化(1),二次錐相補性制約付き最適化問題に対する拡張ラグランジュ法,*板野夏希;福田エレン秀美,京都大学,大学,,MILP,,数値実験,二次錐相補性制約付き最適化(MPSOCCC)にAKKT条件を定義し収束する拡張ラグランジュ法を提案した,,
1-A-4,学生発表(2)／連続最適化(2),Forward-backward envelopeによる直線探索を用いた弱凸正則化項付き無制約最適化問題に対する非線形共役勾配法,*浜名翔大;成島康史,慶應義塾大学,大学,,局所探索,,理論,弱凸正則化項付き問題にFBEに基づく直線探索を用いた非線形3項HS型共役勾配法を提案し大域的収束を示した,,
1-A-5,学生発表(2)／連続最適化(2),決定変数に依存した分布シフト下における適応的勾配法,*浜口広樹;引間友也;澤田宏;武田朗子,東京大学;東京科学大学;NTT;理化学研究所,産学,,機械学習,,数値実験,決定変数依存の分布シフト下でヤコビアンを適応推定する勾配法を提案し既存手法より高速な収束を実験で確認した,,
1-A-6,学生発表(2)／連続最適化(2),平滑性情報を用いないランダム部分空間勾配法,*大宮楽;ポアリオンピエールルイ;武田朗子,東京大学;理化学研究所,大学,,局所探索,,理論,平滑性行列情報を使わずランダム部分空間勾配法に直線探索・Polyakステップ幅を適用し理論的優位性を示した,,
1-A-7,連続最適化(3),適応的条件付き勾配スライディング法：射影不要・直線探索不要な加速法,*高橋翔大,東京大学,大学,,局所探索,,理論,局所Lipschitz推定に基づく適応的ステップ幅を条件付き勾配スライディング法に導入し射影・直線探索不要の加速法を提案した,,
1-A-8,連続最適化(3),安定性関数設計に基づく散逸型多段離散勾配法と非凸非平滑最適化問題への応用,*楊家宝;佐々木多希子,武蔵野大学,大学,,局所探索,,理論,Riis型離散勾配法にRKCD由来の多段係数を組み込み安定性関数を導出し曲率区間の誤差増幅低減の係数設計を考察した,,
1-A-9,連続最適化(3),階数5以上の対称錐から定まる共正値錐・完全正値錐の幾何的構造,*西島光洋,慶應義塾大学,大学,,離散凸解析,,理論,階数5以上の対称錐上の共正値錐・完全正値錐が半正定値表示不可能であること等の幾何的性質を示した,,
1-A-10,連続最適化(3),Gurobi Optimizerによる非線形最適化 – 非線形バリア法の導入と大域最適化との比較–,*田村隆太,株式会社Gurobi Japan,企業,,商用パッケージ,Gurobi,解説・提案,Gurobi Optimizerの空間分枝法による大域的最適化とGurobi13の非線形バリア法（局所解法）を紹介し特徴を比較した,,
1-B-1,離散最適化(1),最大根付き3つ組整合性問題に対する部分木交換操作に基づく局所探索アルゴリズム,青木克駿;安藤和敏,静岡大学,大学,,局所探索,,数値実験,根付き3つ組整合性問題に部分木交換操作による局所探索を提案し数値実験で初期解を改善,ORSJ2026秋_1-B-1_根付き3つ組局所探索,
1-B-2,離散最適化(1),複数の意思決定者の合意支援に向けた共有構造付き組合せ最適化モデル：非対称巡回セールスパーソン問題を例として,橋本進,国立情報学研究所,官公庁,配送計画,MILP;メタヒューリスティクス,LKH-3,解説・提案,共有辺数を制約した非対称TSPで複数意思決定者の合意支援モデルをMILPとACOで提案,ORSJ2026秋_1-B-2_共有構造付き組合せ最適化,
1-B-3,離散最適化(1),Routing an Aerial Vehicle Supported by Two Carriers: Conic Reformulations and Solution Methods,Jinze Sun;I-Lin Wang;Makoto Yamashita,Institute of Science Tokyo;National Cheng Kung University,大学,物流,MILP;DP,,数値実験,二台の輸送車支援下の無人機ルーティングに錐緩和と有限格子DPを提案し数値実験で高速化を確認,ORSJ2026秋_1-B-3_二台輸送車支援無人機ルーティング,
1-B-4,離散最適化(2),超過需要競り上げオークションの複数需要モデルへの拡張：離散凸解析アプローチ,塩浦昭義;室田一雄,東京科学大学;東京都立大学,大学,,離散凸解析,,理論,超過需要集合による単一需要オークションを離散凸解析でL♮凸関数の複数需要モデルへ拡張,ORSJ2026秋_1-B-4_超過需要オークション複数需要拡張,
1-B-5,離散最適化(2),摩擦を伴う組合せ的な市場に対する競り上げオークション：離散凸解析によるアプローチ,佐藤良亮;大城泰平,中央大学;北海道大学;大阪大学;理化学研究所,大学,,離散凸解析,,理論,摩擦のあるITU市場の組合せオークションに対し最小均衡価格を求める競り上げ手法を提案,ORSJ2026秋_1-B-5_摩擦市場競り上げオークション,
1-B-6,離散最適化(2),オンライン最大被覆問題における停止時刻情報の効果,天野雄樹,中央大学,大学,,オンラインアルゴリズム,,理論,停止時刻未知のオンライン最大2-被覆問題の決定的・乱択競合比を厳密に導出,ORSJ2026秋_1-B-6_オンライン最大被覆競合比,
1-B-7,学生発表(4),小工場のエネルギー管理のための最適操業計画策定手法の開発,池田銀志朗;藤原寛志;和賀龍平;池上貴志,東京農工大学大学院,大学,製造;エネルギー,MILP,,数値実験,小工場向け三重資源制約MILPで塗装工場の消費電力ピークシフトを伴う操業計画を策定,,
1-B-8,学生発表(4),多様な勤務形態に対応するナーススケジューリングのQUBO定式化,三浦拓英;一木輝久,福岡大学,大学,人員計画;医療,QUBO;シミュレーテッドアニーリング,,数値実験,タイムオン変数によるナーススケジューリングQUBO定式化を提案しSAで実規模データを検証,ORSJ2026秋_1-B-8_ナーススケジューリングQUBO,
1-B-9,スケジューリング(1),Metaheuristics for Personalized Theme Park Orienteering with Time-Dependent Waiting Times,森山里咲;胡艶楠;橋本英樹,東京理科大学;東京海洋大学,大学,観光,メタヒューリスティクス（ILS;GA）;構築型ヒューリスティクス,,数値実験,個人選好と時間依存待ち時間を考慮したテーマパーク周遊問題にILSとGAを提案し東京ディズニーシーで検証,ORSJ2026秋_1-B-9_テーマパークOrienteering,SS2026_GS2-1_テーマパークOrienteering
1-B-10,スケジューリング(1),働き方改革後の教員勤務条件を考慮した時間割編成問題の定式化とシステム構築,若竹永貴;休場翠陸;多田直樹;土屋秀和;中村太信,東海大学;関西大学,大学,人員計画,MILP,Gurobi,実運用,教員の出校日数制限を考慮した保健体育時間割編成MILPを開発し実際の学校で運用中,ORSJ2026秋_1-B-10_教員勤務条件時間割編成,
1-C-1,経営関連,DEAによる製品用途の違いに関するアルミ産業の効率性評価,金子宏之,福井工業大学,大学,製造,DEA,Web DE DEA v2.1,実データ検証,経済センサスの都道府県別データにDEAを適用しアルミ産業のサッシ・輸送機械2分野の効率性と規模の経済を分析した,,
1-C-2,経営関連,弾力性評価に基づく価格帯に応じた需要関数の推定,*池田春之介;佐藤公俊;石井雄大;下河邉優太郎;顧碧波;朱永傑;杉田駿,筑波大学;南山大学;スプリング・ジャパン株式会社,産学,需要予測;交通,GBDT;DP,,理論,航空券動的価格でLightGBM需要曲線の平坦部を価格弾力性の信頼領域外で単調関数に接続するハイブリッドモデルを提案,,SS2026_GS5-2_AI時代の時系列予測II
1-C-3,物流・サプライチェーン,不確実性を伴う時間枠付配送計画問題に対する遺伝的アルゴリズムを用いた近似解法の提案と性能評価,*佐藤哲也;岩崎瑠依,東京情報大学,大学,物流;配送計画,メタヒューリスティクス(GA);局所探索(2-opt),,数値実験,走行・サービス時間が不確実なVRPTWに二段階GA近似解法を提案し厳密解法が困難な18顧客規模で15分程度で求解した,ORSJ2026秋_1-C-3_不確実VRPTW近似解法,
1-C-4,物流・サプライチェーン,パレットローディングにおける積み付け個数の最大化と解の構造,*伊能龍之介;橋本英樹;胡艶楠,東京海洋大学;東京理科大学,大学,物流;倉庫,MILP,,数値実験,パレット積み付け個数最大化のMILP割当モデルでT11型パレットの選定表を作成し配置構造から領域を数学的に導出した,ORSJ2026秋_1-C-4_パレットローディング選定表,
1-C-5,生産関連,物量波動下での出荷平準化により配送コストを低減する出荷・配送計画方式,*菊池明飛;瀬戸明嶺;宮下直子;宇山一世,株式会社日立製作所,企業,物流;配送計画;SCM,構築型ヒューリスティクス,,数値実験,出荷日・出荷元割当と配送計画を連携させEjection Pool型探索でスポット便台数を平均30%削減する方式を提案した,ORSJ2026秋_1-C-5_出荷配送計画スポット便削減,
